Unnamed: 0,Wave 3_Patients Admitted Due to COVID,Wave 3_Patients Admitted Not Due to COVID,Wave 3_Patients Newly Admitted,Wave 3_Patients Discharged,Wave 3_Patients Currently in ICU,Wave 3_Patients Currently ICU Intubated,Wave 3_Patients Expired
ALBANY,15.80127553613172,5.404243164955789,4.730517389343429,4.343125069874987,6.6843221332198395,2.9523625828971443,0.5101066565453807
ALLEGANY,6.164190554503185,0.9621355626829687,3.3267060121405194,3.767005338384708,4.305148958153952,0.4239919429137248,0.40768455958326155
BRONX,8.309569803905058,7.636696820841826,2.0644031218466794,2.761454263526938,3.5439005998693514,1.3442026810099317,0.24795472337697788
BROOME,9.074909796006704,10.451398217260662,1.8035429971361416,5.460197827695374,4.735730238118007,2.8292365834017,0.4499325025291545
CATTARAUGUS,9.567783963292749,4.415143885153553,4.159478537680745,4.690475797616884,5.34930573064043,4.523309993250435,0.8456623036785129
CAYUGA,5.186425158692687,0.8246614717763089,2.354756249344245,2.0368144777567934,1.3711238917742103,0.2483920089707271,0.2185849687860665
CHAUTAUQUA,6.367678920074889,2.818869978144559,2.8129355154828954,2.5518191387859654,3.685301593332132,1.6616496713850397,0.5222327541772093
CHEMUNG,7.526421701050529,6.266016153681608,4.12332672196606,3.3670833923563244,6.662143611256357,2.4667937158340063,0.7652462256975804
CHENANGO,1.925224288437103,0.48130607157983907,1.203265180008471,1.8931372172808132,2.5188351101228292,0.721959108428632,0.12834828674290555
CLINTON,10.21891826334181,10.911565462219606,1.7078972032614006,3.0742149656200293,5.228063103841289,3.131144871810929,0.5503224315218617
COLUMBIA,10.311003488712036,5.881455450706514,2.1778611190514865,1.9317751161279844,3.3467696296897844,2.3132084196849116,0.3199118028260517
CORTLAND,9.176556954859109,0.48553211348245,3.2045119528295842,2.945561492448034,5.486512888547074,0.5502697301800936,0.32368807707919417
DELAWARE,4.4967595964611355,2.0346554843369145,0.8207013722126929,3.2999034305317325,0.0,0.0,0.01709794619481809
DUTCHESS,9.958973127055094,4.165359712886644,3.3742741854814455,2.869925160605723,3.753175992105734,2.178685380739479,0.384022099888142
ERIE,9.283962152968448,6.945108680661808,2.3174179511148187,3.721047598288055,5.445416145481831,3.7702699049291795,0.5160403112018411
ESSEX,1.3578442470773922,0.5877236296514271,0.8106532810786228,1.25651258660817,0.0,0.0,0.16213065728578688
FRANKLIN,4.683572131216486,3.7596021196509306,2.994937281043003,3.3454086657554414,4.667641614972138,1.2107193270949428,0.22302724424350753
FULTON,6.961445525466957,0.0,2.8129922736478887,2.1310547520816145,4.347351695296677,0.6109023629135099,0.35517579138849303
GENESEE,8.277956657189833,3.5940344728368845,1.5310327361786669,3.5421350585736793,6.707999361170104,4.372525695348359,0.5449438549016922
HERKIMER,3.2122552453482767,0.214150350022448,0.604659811436838,0.579465651241291,0.0,0.0,0.06298539716323849
JEFFERSON,4.465452842247753,4.14092865294163,3.277694310364031,3.433465921299509,2.9012462504605,0.6425578944662914,0.2661098354195046
KINGS,7.463414567734644,6.61864076410214,1.6369395999523404,2.6716559877400976,2.5445661235770665,1.4281688865140343,0.3023575851018649
LEWIS,5.414919641110526,0.9689856218493718,4.217937405010909,3.6479458656233543,2.0804691257241745,0.028499578662252653,0.05699915356256114
LIVINGSTON,9.752406491574215,0.4410636106349258,0.9923931235242747,2.168562750266844,6.468932949509979,5.231504487822234,0.42881184299899733
MADISON,5.791863589449541,1.191787316219713,2.6397532124794165,2.3835746309691834,2.2276398420959773,0.9578851329099035,0.25617858151023293
MONROE,12.474253957176508,13.244355837106932,3.3297928600303117,4.312371040354575,8.692574889754729,6.185753602311168,0.41597472213187825
MONTGOMERY,9.742706888476135,6.010806603811677,4.022499075345231,4.3130978680449,8.68737443067108,4.9248847997254295,0.7494389909553419
NASSAU,11.124489157986895,9.07609815056019,2.7317307730334566,3.784692764014805,3.8367980991191986,1.974575114595916,0.32185900023929376
NEW YORK,11.878852413249277,13.971490717727185,3.189484839613493,4.1664965279642745,5.7784540277680225,3.098714417167232,0.35369164557081567
NIAGARA,5.086935297602813,2.187239686644786,1.3892890518465575,1.7134564970423105,4.363792533832394,2.956692084301205,0.36335252132451823
ONEIDA,6.879783293484114,4.510370261712439,3.3485093260096934,2.9013886849757675,4.8171537662897155,2.6500873029617664,0.5744031590737749
ONONDAGA,9.947518058155445,4.654999660032402,4.3561130707048665,4.0858432812329495,6.418112577541993,2.8871172762299695,0.4864856202100244
ONTARIO,12.48951123975173,6.325593878603568,4.742511277988227,4.823349538494371,9.646699078767185,3.8802365007380537,0.5726043447331448
ORANGE,9.076335605890707,6.055924422516259,3.599952580299519,3.422503421295258,3.5565341680994744,2.2653083877800206,0.3756636410754778
ORLEANS,0.7323564063158416,1.2769291202934834,0.7323564063158416,1.032810319014451,0.0,0.0,0.03755673846763999
OSWEGO,4.170614892150606,1.2505398596043396,1.5792900285045737,1.431030148479047,2.4430649827696236,0.9153436085939163,0.21916677983407787
