,,Tot,Tot
Tm,PF,Ply,Y/P
,,,
Kansas City Chiefs,496,1094,6.4
Philadelphia Eagles,477,1124,5.9
Dallas Cowboys,467,1114,5.4
Buffalo Bills,455,1037,6.1
Detroit Lions,453,1092,5.9
San Francisco 49ers,450,1047,5.9
Minnesota Vikings,424,1123,5.5
Cincinnati Bengals,418,1053,5.5
Seattle Seahawks,407,1044,5.7
Jacksonville Jaguars,404,1072,5.7
Miami Dolphins,397,1009,6.1
Las Vegas Raiders,395,1049,5.7
Los Angeles Chargers,391,1154,5.3
Green Bay Packers,370,1051,5.5
Atlanta Falcons,365,1011,5.4
New York Giants,365,1089,5.2
New England Patriots,364,1006,5.3
Cleveland Browns,361,1116,5.3
Baltimore Ravens,350,1052,5.5
Carolina Panthers,347,976,5.3
Arizona Cardinals,340,1144,4.8
New Orleans Saints,330,1015,5.6
Chicago Bears,326,993,5.3
Washington Commanders,321,1140,4.9
Tampa Bay Buccaneers,313,1159,5.1
Pittsburgh Steelers,308,1109,4.9
Los Angeles Rams,307,1001,4.8
Tennessee Titans,298,992,5.1
New York Jets,296,1074,5
Houston Texans,289,1015,4.7
Indianapolis Colts,289,1103,4.8
Denver Broncos,287,1078,5.1
