,PTS,PTS.1,W_x_x,L_x_x,Pace_x,ORtg_x_x,TS%_x,eFG%_x,TOV%_x,Tm._x,AST_x,Pts_x,Opp_x,MOV_x,OSRS_x,ORtg_x_x,DRtg_x,Conf_x,W_x_y,L_x_y,Pace_y,ORtg_x_y,TS%_y,eFG%_y,TOV%_y,Tm._y,AST_y,Pts_y,Opp_y,MOV_y,OSRS_y,ORtg_x_y,DRtg_y,Conf_y
PTS,1.0,0.3265480880052345,0.23914280893111947,-0.237758420424105,0.23509138869807886,0.32870361994550057,0.28157824370400264,0.2688045686965207,-0.1904480770857204,0.3927363408558357,0.22567448894340802,0.3927363408558357,0.11939969199147121,0.24518162333425358,0.3029601971053927,0.32870361994550057,-0.05376951598528903,-0.005183297176661176,-0.20849114758446366,0.20989301824196888,0.24904102505981532,-0.016295671053101212,0.022046043407418177,0.007065628196078855,0.01901769886016784,0.12315165308486828,0.005268995630912837,0.12315165308486828,0.4094148619230261,-0.21304831807636215,0.07955171359920148,-0.016295671053101212,0.21545116665556824,-0.0029001928364841053
PTS.1,0.3265480880052345,1.0,-0.19390094897149351,0.19626843385849752,0.2600804841438818,-0.01771813600290416,0.015790423462130825,0.005032313792746712,0.012027436577701424,0.12647456683989897,0.004818396948026346,0.12647456683989897,0.39516007536496334,-0.1990986426104455,0.1065027054863947,-0.01771813600290416,0.16473694785890375,-0.002091422353942138,0.28439780783295016,-0.27919919792522657,0.2600255647657076,0.3803711919708086,0.34335209341149703,0.3242086690205096,-0.20392241784594967,0.4455142173513449,0.2780731723962754,0.4455142173513449,0.11693187077253821,0.2916932452226301,0.36503161465289063,0.3803711919708086,-0.09481039483147916,-0.006049534546673097
W_x_x,0.23914280893111947,-0.19390094897149351,1.0,-0.9634990098161333,0.011338023888820796,0.7413721302098081,0.5911586606200055,0.5697946737703271,-0.4407312989712752,0.6007514139681549,0.515174526773668,0.6007514139681549,-0.5099069585870722,0.9149949884830704,0.619884485755422,0.7413721302098081,-0.6629136814505906,-0.08288298384923726,0.04090458800144662,-0.022146337760949108,-0.013308813374565395,0.05949946102719506,0.042375067672073344,0.030794056850063447,-0.052881071813497695,0.04137949959849963,0.04935377701794544,0.04137949959849963,-0.010958008228143147,0.04415370978035126,0.17726750549435474,0.05949946102719506,-0.1975545574410855,-0.07852365625678606
L_x_x,-0.237758420424105,0.19626843385849752,-0.9634990098161333,1.0,-0.011585388253310971,-0.7392822568046818,-0.5977969146714456,-0.5800284289370691,0.4273527180728518,-0.5979265243279899,-0.5191474547732885,-0.5979265243279899,0.5168630768035374,-0.917814964595379,-0.5834902658231075,-0.7392822568046818,0.6270160097586891,0.07754513830543219,-0.01502826274996876,0.012417212566071114,0.007200176505238889,-0.05188555186204493,-0.03760395287285355,-0.02984523016303918,0.04512896493793916,-0.037937020494994894,-0.04795916364299005,-0.037937020494994894,-0.003678900778045122,-0.029734455745884975,-0.14759006102006486,-0.05188555186204493,0.1550002823207239,0.0716477092597145
Pace_x,0.23509138869807886,0.2600804841438818,0.011338023888820796,-0.011585388253310971,1.0,0.08290686730127385,0.134680724182075,0.10360406473812699,0.036450293547792556,0.5925513500098483,0.2785630972818415,0.5925513500098483,0.6489769205592559,0.00437701928036499,0.4074178023621862,0.08290686730127385,0.09122559576966527,0.1082992106384565,-0.005002762512198757,0.0003152725883077047,0.14168349602409058,0.00895945965716109,-0.0026885639785974307,-0.019464297217149366,0.028604857403201022,0.07758899390413151,-0.011582681963182252,0.07758899390413151,0.08556749310018608,-4.716325156123252e-05,-0.010527411317262132,0.00895945965716109,0.02974295598203133,0.10532866630993057
ORtg_x_x,0.32870361994550057,-0.01771813600290416,0.7413721302098081,-0.7392822568046818,0.08290686730127385,1.0,0.8311142706150889,0.8036596878306373,-0.6216251457091683,0.8454214439668691,0.5942880956116257,0.8454214439668691,-0.1152238241927569,0.8179048821514893,0.745550438742974,1.0,-0.3527980011718225,-0.10928626122064815,0.0580778638460886,-0.055750441829235525,-0.0010962191143627578,0.21382826635189003,0.15554284567030707,0.14154327631823124,-0.1943681293313291,0.1696300314661336,0.10056174055843047,0.1696300314661336,0.08944539162746358,0.07613913573749519,0.21881503642932174,0.21382826635189003,-0.14110235642255095,-0.10690897777356041
TS%_x,0.28157824370400264,0.015790423462130825,0.5911586606200055,-0.5977969146714456,0.134680724182075,0.8311142706150889,1.0,0.9709687602086865,-0.25384951494240887,0.7398570722027235,0.5970311563623408,0.7398570722027235,-0.01635660408314956,0.6499375101222803,0.6496630449168111,0.8311142706150895,-0.2280646428110531,-0.10122081752718057,0.03893746177940116,-0.0377389771085835,-0.014105158807911387,0.15127275832201248,0.13308102710917655,0.12766644704319785,-0.12222656105044818,0.11341982435128117,0.070847358372789,0.11341982435128117,0.054324480908639734,0.05509365810337056,0.15713243972935018,0.15127275832201248,-0.11037624557402896,-0.09762629815953958
eFG%_x,0.2688045686965207,0.005032313792746712,0.5697946737703271,-0.5800284289370691,0.10360406473812699,0.8036596878306373,0.9709687602086865,1.0,-0.25144156433583054,0.7012132954389415,0.641436071071727,0.7012132954389415,-0.04186928011362398,0.6365345850425297,0.6051936764864989,0.8036596878306373,-0.2101931231405063,-0.09288688569198185,0.028663293408144747,-0.031023745998890503,-0.030082653426406702,0.1379681505765728,0.12933311414606832,0.13158507105763023,-0.11241261130784105,0.09460205564538858,0.06729028234448463,0.09460205564538858,0.043327566377807276,0.0475035317072407,0.1303122002984252,0.1379681505765728,-0.08598593007218178,-0.0886590252043073
TOV%_x,-0.1904480770857204,0.012027436577701424,-0.4407312989712752,0.4273527180728518,0.036450293547792556,-0.6216251457091683,-0.25384951494240887,-0.25144156433583054,1.0,-0.4756491967401319,-0.24599573205584965,-0.4756491967401319,0.09131436710889176,-0.4809142311624552,-0.4386784733896217,-0.6216251457091686,0.24102402752221444,0.11795775661285125,-0.05647229134666847,0.05241517790248358,0.024812521785641493,-0.1945172322333879,-0.12323935721740158,-0.11519165266944394,0.23145148666373022,-0.14170131908337336,-0.08722994030244426,-0.14170131908337336,-0.07321966129457415,-0.06494004608883411,-0.17934501457100085,-0.1945172322333879,0.10612098193144498,0.1165408702935773
Tm._x,0.3927363408558357,0.12647456683989897,0.6007514139681549,-0.5979265243279899,0.5925513500098483,0.8454214439668691,0.7398570722027235,0.7012132954389415,-0.4756491967401319,1.0,0.6222785939137659,1.0,0.26003922112715117,0.6584799609602552,0.8217386291906109,0.8454214439668688,-0.2344362978441158,-0.036062596206905675,0.04471828961528273,-0.044698994405222826,0.06826950405467527,0.17529606412200244,0.12377152604223506,0.10400045301956343,-0.14002117609835646,0.17395100925754137,0.07341079249029386,0.17395100925754137,0.11280112522945883,0.06161565139382907,0.1685244868278014,0.17529606412200244,-0.09861655613407032,-0.035760805732305286
