School,G,SRS,SOS,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian,30,-2.79,0.9,75,71.1,27.1,60,0.451,7.03,20.4,0.344,13.8,19.1,0.723,10.2,32.4,15.7,8.8,2.37,12.6,20.6
Air Force,32,2,2.12,66.9,67.1,23.6,51.1,0.462,8.16,22.9,0.356,11.5,16,0.722,6.66,29.6,15.3,5.75,3.97,12.2,17
Akron,33,4.19,-1.65,74.6,66.9,25.6,57.5,0.445,9.09,25.6,0.355,14.4,19.5,0.739,10.2,35.7,13.4,6.03,2.64,11.2,16
Alabama NCAA,37,23.19,9.65,81.8,68.3,27.6,62.5,0.442,9.89,29.5,0.335,16.6,22.9,0.725,13.1,44.6,15,6.05,5.11,13.8,18.7
Alabama A&M,33,-10.78,-7.71,69.6,70.9,24.9,56.6,0.441,6.85,18.5,0.37,12.9,19.7,0.655,10.1,32.7,12.7,8,4.03,15.1,18.9
Alabama State,31,-16.33,-6.29,63.3,72.6,22,58.7,0.375,5.97,19.5,0.306,13.3,18.8,0.705,12.5,36,9.97,5.87,3.55,13.4,18
Albany (NY),31,-14.36,-4.53,67.3,75.2,23.4,56.6,0.414,7.65,23.4,0.327,12.8,17.7,0.722,10.2,33.3,11.7,5.74,1.65,13.4,18.6
Alcorn State,32,-8.74,-5.81,67.7,70.6,23.8,58.4,0.408,5.13,17.3,0.296,14.8,20.6,0.721,12,34,9.88,8.03,2.5,12.6,18.9
American,32,-8.26,-7.73,65.4,65.9,24.5,50.9,0.482,6.38,18.4,0.346,9.97,14.2,0.701,8.09,30.3,13.6,7.44,3.94,14,15.1
Appalachian State,32,-1.5,-0.98,70.3,64.6,25.6,57.9,0.442,7.59,22.7,0.335,11.5,17,0.676,9,35.7,13,6.38,4.56,11,13.8
Arizona NCAA,35,19.08,8.34,81.9,71.1,29.2,59.2,0.494,8.43,22.3,0.378,15,21.2,0.708,10.2,39.3,18.9,6.09,3.14,13.4,16.9
Arizona State NCAA,36,11.29,8.18,71.1,68,25.3,60.1,0.421,7.61,23.6,0.322,12.9,18.8,0.689,11,36.5,14.3,7.08,4.72,11.7,18.6
Arkansas NCAA,36,15.99,9.87,74.1,67.9,26.7,57.3,0.466,4.97,15.9,0.313,15.7,22.5,0.698,10.4,35.3,12.8,8.39,5.06,12.7,19.3
Arkansas State,33,-8.07,-3.3,65.7,67.6,23.5,54.5,0.432,6.33,18,0.352,12.3,18.2,0.677,9.85,33.6,13.1,6.67,3.27,11.7,16.8
Arkansas-Pine Bluff,31,-12.99,-5.36,66.9,69.7,22.6,57.8,0.391,7.9,25,0.316,13.8,18.9,0.727,10.1,34.5,12.8,8.06,2.77,15.3,19.7
Army,33,-7.13,-7.58,73.1,70.4,26.8,56.2,0.478,7.64,21.8,0.351,11.8,17.3,0.684,8.48,34.3,13.1,5.09,2.12,12.9,16.1
Auburn NCAA,34,14.35,9.29,72.8,67.7,25.7,58.6,0.439,6.5,20.6,0.315,14.8,21.3,0.696,11.6,36.2,14.1,7.74,5.06,12.2,19.3
Austin Peay,31,-12.17,-2.6,66.7,72.3,24,57.7,0.415,7.16,22.3,0.322,11.6,16,0.725,10.1,31.4,12.5,7.1,3.03,11.7,16.9
Ball State,32,-1.2,-3.5,76.4,71.6,26.3,55.8,0.471,7.5,20.3,0.369,16.3,23.7,0.689,10.5,35.8,13.2,5.5,3.84,12.2,16.4
Baylor NCAA,34,17.3,10.54,77,70.3,25.9,57.6,0.45,9.5,25.8,0.368,15.8,21.2,0.744,11.5,34,14.2,6.56,2.41,12.1,17.4
Bellarmine,33,-7.42,-1.35,66.3,67.2,24.2,52.7,0.459,8,22.8,0.351,9.97,13.2,0.755,6.58,29.1,14.2,5.58,1.36,11.2,15.8
Belmont,32,1.88,-1.93,76.5,71.8,28.1,59.4,0.472,9.59,24.7,0.388,10.8,14.8,0.726,8.34,33,15.3,7.03,3.16,11.4,15.6
Bethune-Cookman,32,-17.15,-7.82,67.9,75,24.1,58.2,0.414,6.84,18.9,0.361,12.8,18.3,0.698,10,32.4,11.3,7.22,2.81,12.9,17.3
Binghamton,31,-10.44,-5.51,68.8,71.5,25.6,56.9,0.45,5.55,17.2,0.323,12,16.9,0.713,9.71,35,11.6,4.65,3.16,13,18
Boise State NCAA,34,12.78,6.21,72.1,64.6,25.8,57,0.453,7.79,21.6,0.362,12.6,17.3,0.733,9.03,35.7,11.3,5.03,2.85,11.1,16.3
Boston College,33,1.09,4.73,66.6,70.2,24.8,56.8,0.437,5.7,17.9,0.319,11.2,15.5,0.725,9.33,33.1,12.5,6.36,3.58,12.3,15.8
