School,W,L,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Jacksonville,13,16,62,102.2,0.232,0.387,0.545,51.8,54.8,8.2,8.5,0.517,16.5,25.2,0.174
Jacksonville State,13,18,66.5,104.7,0.328,0.438,0.55,52.9,51,8.3,8,0.521,17.2,30.4,0.229
James Madison,22,11,72.2,109.8,0.37,0.372,0.56,52.7,47.6,12.3,7.3,0.527,15.5,32.8,0.262
Kansas NCAA,28,8,70.2,106.8,0.298,0.338,0.555,50.8,58.9,12.5,10.2,0.526,15.4,28.7,0.215
Kansas City,11,21,65.4,97.2,0.324,0.361,0.484,52.6,41.5,9.1,11.3,0.443,16.9,36.5,0.231
Kansas State NCAA,26,10,70.5,106.2,0.361,0.361,0.562,50.5,63.6,11.2,7.7,0.523,17,29.9,0.27
Kennesaw State NCAA,26,9,69.8,106.4,0.358,0.387,0.555,50.9,53.9,11.2,8,0.531,15.5,27.9,0.237
Kent State NCAA,28,7,69.7,108.9,0.308,0.384,0.546,50.5,45.1,12.6,12.1,0.514,14,31,0.224
Kentucky NCAA,22,12,66.8,110.7,0.319,0.3,0.538,56.7,55.1,9.6,10,0.506,14.5,39.2,0.225
La Salle,15,19,68.5,100.9,0.283,0.356,0.514,49.6,47.3,9.7,8.5,0.485,15.6,30.5,0.196
Lafayette,11,23,63.5,96.1,0.245,0.484,0.505,48.1,68.8,8.9,9.4,0.487,15.9,23.8,0.153
Lamar,9,22,67.9,99.2,0.325,0.315,0.516,50.2,53.7,9.4,10.2,0.481,17.8,33.2,0.229
Lehigh,16,14,69.7,100.1,0.304,0.344,0.539,48.1,49.2,8.9,6.1,0.503,15.4,20.1,0.227
Liberty,27,9,65.7,113.8,0.262,0.496,0.588,52.8,60.2,9.6,6.8,0.566,14,25.8,0.19
Lindenwood,11,21,69.2,98.6,0.278,0.355,0.525,47.7,46.8,9,9.4,0.493,16.7,25,0.202
Lipscomb,20,13,69.7,108,0.25,0.377,0.568,52.3,49.4,7.6,7.5,0.543,15.2,26.4,0.186
Little Rock,10,21,72.9,102.6,0.331,0.297,0.529,49.6,54.4,9.2,6.3,0.492,15.9,29.7,0.242
Long Beach State,17,16,72.6,102.7,0.339,0.237,0.521,53.9,52.1,10,8.7,0.49,16.1,35,0.23
Long Island University,3,26,73.6,90.7,0.318,0.25,0.499,48.1,58.3,9,8.5,0.47,19.7,26.1,0.21
Longwood,20,12,67.1,109.1,0.33,0.373,0.551,52.4,47.9,9.6,7.2,0.518,15.2,32.6,0.238
Louisiana NCAA,26,8,69.2,111.4,0.365,0.322,0.568,54.5,51.5,10.3,7.5,0.542,15.2,34,0.249
Louisiana State,14,19,66.7,101.4,0.337,0.389,0.513,50.7,52.9,10.1,8.1,0.473,15.7,31.7,0.243
Louisiana Tech,15,18,67.7,104.3,0.283,0.422,0.544,51.5,47.8,11.4,8.5,0.515,17.1,31.6,0.204
Louisiana-Monroe,11,21,67.2,99.1,0.299,0.371,0.508,49.8,53.1,10.1,10.2,0.473,16,29.7,0.213
Louisville,4,28,67,95.4,0.329,0.358,0.52,49.2,41.8,6.8,8,0.48,19.6,28.2,0.244
Loyola (IL),10,21,67,99.3,0.311,0.402,0.556,48.8,56.5,8.3,8.9,0.529,19.8,24.5,0.217
Loyola (MD),13,20,66.8,100.4,0.28,0.385,0.539,48.9,55.8,11.2,6.8,0.52,17.8,27.4,0.18
Loyola Marymount,19,12,69.1,107.6,0.311,0.433,0.556,53.2,44,7.8,7.3,0.533,15.9,30.9,0.209
Maine,13,17,67,100.9,0.231,0.348,0.541,47.3,52.9,14,5.9,0.516,16.3,23.6,0.168
Manhattan,12,18,67.2,98,0.309,0.366,0.523,46.7,50.5,11,9.6,0.497,17.4,26.9,0.204
Marist,13,20,65.5,97.2,0.289,0.424,0.51,48.9,47.9,9,10.5,0.479,15.9,25.9,0.202
Marquette NCAA,29,7,69.3,112.9,0.27,0.42,0.582,47.3,59.1,13,8.4,0.56,13.6,26.2,0.194
Marshall,24,8,72.7,111.1,0.258,0.368,0.55,50.3,56.9,12.2,12.8,0.527,13.5,32.4,0.179
Maryland NCAA,22,13,64.5,107.7,0.343,0.369,0.545,51.1,46.2,8.4,10.1,0.508,14.3,30,0.251
Maryland-Baltimore County,18,14,68.4,108.2,0.265,0.39,0.547,49.5,52.5,8.2,7,0.517,12.9,26.5,0.198
Maryland-Eastern Shore,18,13,71.4,97.2,0.292,0.397,0.524,48.3,53.7,15.5,5.6,0.491,18,28.6,0.21
Massachusetts,15,16,70.7,98.7,0.322,0.297,0.502,52.6,54.6,9.6,11.2,0.464,17.1,34.5,0.231
Massachusetts-Lowell,26,8,69.7,111.6,0.332,0.31,0.574,56.1,50.4,10,12.6,0.543,16.8,36.4,0.244
McNeese State,11,23,67.9,100.8,0.287,0.398,0.52,50.6,44.9,10.5,5.2,0.496,18.1,33.9,0.19
Memphis NCAA,26,9,72.2,108.7,0.354,0.291,0.567,50.4,54.4,11.8,13.1,0.53,16,31.2,0.265
Mercer,14,19,65.5,103.7,0.284,0.311,0.53,51.8,49.6,8.5,6,0.503,15.2,31,0.196
Merrimack,18,16,67.1,93.2,0.343,0.44,0.524,43.4,58.6,16.6,11.2,0.491,19.1,20.8,0.237
Miami (FL) NCAA,29,8,68.9,114.3,0.307,0.342,0.579,52,50.6,10.5,8.4,0.543,14,31.8,0.241
Miami (OH),12,20,69.4,105.7,0.313,0.405,0.565,48.5,53,8.7,8.1,0.526,17.3,27.6,0.246
Michigan,18,16,67.4,106.4,0.308,0.373,0.545,51,46.1,6.7,11.4,0.516,13.5,25.6,0.219
Michigan State NCAA,21,13,65.4,106.8,0.272,0.33,0.549,52.2,56.5,7.1,8.4,0.517,14.4,27.6,0.206
Middle Tennessee,19,14,67,103.9,0.287,0.356,0.538,51.4,41.5,11.2,13.7,0.513,17,33,0.196
Milwaukee,22,12,72.3,106.2,0.33,0.375,0.557,51.8,50,9.4,14.6,0.523,17.8,33.6,0.244
Minnesota,9,22,65.4,95.4,0.308,0.355,0.511,47.5,63.1,7,9.7,0.49,17.4,25,0.191
Mississippi,12,21,66.6,100.9,0.292,0.347,0.506,51.1,52.9,10.6,10,0.475,15.4,33.3,0.203
Mississippi State NCAA,21,13,64.9,99.8,0.338,0.346,0.497,53.1,59.1,13.1,11.3,0.467,16.2,35.5,0.219
Mississippi Valley State,5,27,68.2,88.7,0.38,0.276,0.492,47.6,47,11,6,0.454,20.7,28.6,0.253
Missouri NCAA,25,10,70,112,0.291,0.432,0.58,44.7,56.5,14.5,8.5,0.55,14.1,26.3,0.22
Missouri State,17,15,63,102.9,0.27,0.432,0.524,53,48.4,9.8,13.4,0.506,16.4,33.5,0.169
Monmouth,7,26,68.4,90.2,0.331,0.251,0.474,47.6,52.9,12.3,8.5,0.438,18.1,30.3,0.221
Montana,17,14,64.1,107.6,0.292,0.398,0.571,50.1,49.6,7.3,7,0.536,15.6,24.5,0.23
Montana State NCAA,25,10,67.9,108.1,0.434,0.342,0.572,51.8,49.8,9.6,8.4,0.526,15.5,26.6,0.327
Morehead State,22,12,66.9,104,0.346,0.386,0.54,52.5,56.7,8.5,9.8,0.503,15.5,28.3,0.251
Morgan State,15,16,73.8,100.3,0.297,0.293,0.533,47.6,55.5,13.1,11.6,0.505,18.7,31.7,0.205
Mount St. Mary's,13,20,65.8,96,0.255,0.342,0.515,49.4,53.2,8.3,6.8,0.485,18.1,27.8,0.186
Murray State,17,15,66.9,104,0.333,0.325,0.534,50.4,48.6,8,7.4,0.495,14.2,27.6,0.245
Navy,18,13,64.9,106.1,0.235,0.363,0.543,51.4,56.8,10.6,8.2,0.521,15.2,30.1,0.166
NC State NCAA,23,11,69.8,110.9,0.253,0.371,0.541,51.2,44.2,11.2,11.8,0.515,11.6,30.4,0.182
Nebraska,16,16,67.2,99.5,0.282,0.367,0.536,49.3,51,8.1,7.2,0.517,16.7,24.7,0.18
Nevada NCAA,22,11,66.4,107.3,0.395,0.378,0.563,49.9,59.3,8.8,9.5,0.512,13.7,22.9,0.313
Nevada-Las Vegas,19,13,69.6,104.6,0.347,0.396,0.538,48.1,50.2,12.8,12.3,0.501,15.1,28.5,0.251
New Hampshire,15,15,65.7,100.2,0.29,0.415,0.5,49.2,50.3,8.1,6.7,0.469,13,27,0.201
New Mexico,22,12,72,111.1,0.392,0.267,0.567,51.4,47.4,9.3,10.4,0.528,13.6,28.1,0.289
New Mexico State,9,15,71.6,102.9,0.336,0.374,0.535,51.4,46.1,10.2,7.3,0.506,15.6,29,0.229
New Orleans,12,20,72.5,100.1,0.378,0.291,0.556,48.7,55.9,9.2,5.9,0.522,20.6,29.6,0.268
Niagara,16,15,63.7,101.4,0.293,0.347,0.539,49.9,46.1,8.3,6.1,0.508,16.3,26.9,0.212
Nicholls State,16,15,72.7,104,0.274,0.361,0.536,49.1,48.9,13.4,9.1,0.517,16.1,31,0.177
NJIT,7,23,66.6,98.9,0.281,0.324,0.511,47.8,45.2,7.9,7.7,0.486,14.5,24.3,0.187
Norfolk State,22,11,68.1,110.4,0.38,0.358,0.571,53.5,48.4,10.3,12.6,0.533,16.5,34.5,0.283
North Alabama,18,15,69.5,105.5,0.297,0.35,0.55,49.2,42.4,8.3,8,0.522,14.4,24.7,0.21
North Carolina,20,13,69.3,107.8,0.37,0.376,0.535,53.6,45.8,7.6,9.3,0.492,13.1,30.4,0.274
North Carolina A&T,13,19,70.7,99.3,0.297,0.407,0.514,47.5,46.5,10.5,8,0.485,14.9,25,0.202
North Carolina Central,18,12,70.2,106,0.342,0.353,0.562,52.6,53.9,11.2,9.3,0.533,18.5,32.9,0.24
North Dakota,13,20,68.2,105,0.271,0.446,0.542,48.7,45.9,6.4,6.6,0.519,14.7,25.9,0.185
North Dakota State,16,17,69.3,105.2,0.314,0.386,0.549,52.1,42.7,5.7,7.6,0.52,14.8,25.4,0.223
North Florida,14,17,69.1,108.5,0.277,0.479,0.568,47.8,48.4,7.1,8.4,0.543,15.4,26.1,0.199
North Texas,31,7,59.5,107.1,0.311,0.413,0.546,53.5,50.1,10.7,9.5,0.509,16.7,34.4,0.235
Northeastern,10,20,67.1,96.5,0.278,0.373,0.508,52.2,52.9,7.3,10,0.48,18.3,31.7,0.19
Northern Arizona,12,23,68,106.9,0.271,0.384,0.538,50,52,7.7,4.5,0.508,13.6,28,0.201
Northern Colorado,12,20,69.3,105.3,0.319,0.402,0.555,48.9,43.9,6.6,4.2,0.52,15.3,24.2,0.238
Northern Illinois,13,19,70.9,101.2,0.333,0.373,0.548,46.8,48,9.1,6.2,0.526,17.9,25.2,0.217
Northern Iowa,14,18,67.8,102.6,0.31,0.391,0.547,49.9,45.9,9.3,4.8,0.52,15.8,22.9,0.216
Northern Kentucky NCAA,22,13,63.5,104.8,0.278,0.414,0.525,49.1,55,14.5,8.1,0.497,14.9,32.2,0.194
Northwestern NCAA,22,12,65,103.5,0.297,0.41,0.513,49.6,54.2,12,12.7,0.473,12.7,28.5,0.225
Northwestern State,22,11,68.4,108.2,0.27,0.38,0.539,48.6,46.1,12,6.6,0.513,14.7,32.9,0.19
Notre Dame,11,21,65.4,106,0.233,0.43,0.548,46.4,46.8,7.1,7.3,0.52,12.1,19.6,0.178
Oakland,13,19,69,104.3,0.319,0.398,0.539,45.4,46.7,10.6,7.1,0.496,13.5,24.4,0.248
Ohio,19,14,69.7,112.7,0.277,0.383,0.557,52.2,43.6,9.6,6.2,0.53,13.7,33.3,0.202
Ohio State,16,19,65.9,109.2,0.266,0.317,0.549,52,43.2,7.8,10.2,0.52,14,31.5,0.196
Oklahoma,15,17,66.4,101.1,0.301,0.374,0.555,50,53.3,8.5,7.6,0.524,18,23.7,0.221
Oklahoma State,20,16,68,99.7,0.325,0.39,0.52,52.6,51.7,8.3,13.7,0.488,17.7,32.6,0.225
Old Dominion,19,12,65.6,101.5,0.367,0.297,0.501,51.9,44.6,9.6,11.7,0.464,14.4,32.8,0.249
Omaha,9,23,68.3,99.9,0.296,0.299,0.532,48.1,47.7,7.8,8.4,0.492,16.3,24.3,0.23
Oral Roberts NCAA,30,5,71.5,116.5,0.246,0.46,0.585,50,48.6,9.5,14,0.558,11.7,25.4,0.19
Oregon,21,15,66.5,105.7,0.32,0.391,0.54,53.8,52.1,8.4,13.1,0.511,15.8,32.6,0.222
Oregon State,11,21,65.1,94.1,0.335,0.367,0.513,48.1,48.2,8.3,9.1,0.469,18.4,25.2,0.252
Pacific,15,18,70.8,106.3,0.339,0.396,0.561,46.1,48.3,7.6,7.3,0.529,14.9,23.4,0.244
Penn State NCAA,23,14,64.4,110.4,0.213,0.471,0.575,48.2,51.9,6.6,5.8,0.554,12.5,19.2,0.157
Pennsylvania,17,13,67.9,108.5,0.294,0.388,0.564,52.7,54.7,8,9.5,0.534,16.1,30.3,0.218
Pepperdine,9,22,73.9,103.8,0.268,0.362,0.555,49.1,52.2,7.2,8.9,0.531,16.7,26.1,0.191
Pittsburgh NCAA,24,12,68.1,110.4,0.329,0.434,0.562,51.1,54.4,7.6,11.4,0.525,14.3,29.5,0.249
Portland,14,19,71.1,108.5,0.421,0.46,0.582,48.1,58.4,6.9,6.5,0.541,16,24.6,0.314
Portland State,12,19,72.3,105.4,0.338,0.369,0.546,46.7,51.6,9.8,9.5,0.51,14.8,26,0.246
Prairie View,13,19,69.7,95.4,0.329,0.33,0.49,51,45.5,10.6,9.8,0.454,16.5,32.3,0.225
Presbyterian,5,27,65.1,96.2,0.369,0.36,0.503,49.9,47.9,8.4,9,0.476,17.6,30.7,0.231
Princeton NCAA,23,9,69,108.1,0.302,0.418,0.554,54.2,49.6,7,8.3,0.526,15,29.1,0.215
Providence NCAA,21,12,68.2,111.2,0.363,0.319,0.551,54,53.5,9.9,11.2,0.511,14.3,34.8,0.269
Purdue NCAA,29,6,64.2,112.8,0.372,0.384,0.558,58.1,61.3,7.4,9.9,0.518,14.6,38.4,0.277
Purdue Fort Wayne,17,15,70.4,104.5,0.286,0.467,0.546,50.7,50,10.4,6.4,0.519,16.3,27.6,0.201
Queens (NC),18,15,71,109.5,0.353,0.442,0.555,52.5,51.9,8.7,5.6,0.521,15.1,31.1,0.254
Quinnipiac,20,12,69.3,104,0.33,0.38,0.529,52.3,50.7,8.7,6.7,0.502,15.5,32.1,0.22
Radford,21,15,64.9,106.5,0.286,0.323,0.543,51.6,45.8,10.7,8.7,0.518,15.6,31.3,0.197
Rhode Island,9,22,68.3,95.4,0.37,0.313,0.493,50.7,49.9,9.3,10,0.442,17.4,31.6,0.275
Rice,19,16,70.8,107.1,0.312,0.426,0.571,50.2,55.8,8.3,6.3,0.541,16,24.8,0.231
Richmond,15,18,66.4,102.2,0.33,0.441,0.549,48.4,51.1,8.5,6.9,0.512,15.5,21,0.246
Rider,16,14,65.1,106.5,0.288,0.257,0.53,53.4,43,8.1,7.2,0.497,14.8,34,0.211
Robert Morris,16,17,67.4,102.5,0.265,0.369,0.533,50.8,54.1,9.9,10.9,0.505,16.8,29.6,0.191
Rutgers,19,15,66.1,102.7,0.282,0.302,0.51,51.8,59.1,13.1,12.4,0.479,14.5,32.1,0.197
Sacramento State,14,18,63.3,102.3,0.279,0.359,0.533,54.6,56,6.9,6.8,0.506,17.7,33.1,0.195
Sacred Heart,16,17,70.4,99.6,0.276,0.365,0.515,49,51.4,11.1,8.7,0.489,16.2,28.8,0.187
Saint Francis (PA),13,18,69.2,105,0.32,0.36,0.558,49.4,52.9,6.4,5.3,0.53,16.2,25.9,0.226
Saint Joseph's,16,17,69.4,103.5,0.342,0.459,0.535,48.9,48.8,9.4,9.6,0.502,15.9,28.9,0.241
Saint Louis,21,12,69.9,108.1,0.292,0.327,0.556,53,59,7.2,10.8,0.526,15.1,30,0.214
Saint Mary's (CA) NCAA,27,8,63.8,109.6,0.32,0.369,0.55,55.3,49.1,10.6,9.9,0.522,14.2,32.9,0.222
Saint Peter's,14,18,63.2,97.5,0.289,0.354,0.477,51.9,46.9,9.8,10.3,0.443,15.9,36.8,0.199
