School,W,L,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
TCU NCAA,22,13,70.9,105.8,0.341,0.299,0.533,50.7,58.5,11.3,12.5,0.5,14.4,32.2,0.238
Temple,16,16,67.1,101.8,0.346,0.436,0.539,50.4,58.5,7.3,10.3,0.497,17.4,28.6,0.262
Tennessee NCAA,25,11,65.9,107,0.307,0.401,0.53,54.6,66.2,12.5,11.8,0.499,15.2,36.4,0.217
Tennessee State,18,14,72.8,107.2,0.359,0.416,0.552,50.3,49.2,8,9,0.521,15.1,28.5,0.249
Tennessee Tech,16,17,69.3,103.5,0.29,0.421,0.543,48.4,55.3,8.8,6.5,0.514,15.7,26,0.208
Tennessee-Martin,19,14,73.5,108.3,0.345,0.375,0.555,51.3,47.6,10.1,9.2,0.521,14.1,28.6,0.249
Texas NCAA,29,9,70.1,110.1,0.305,0.345,0.565,49.8,56.7,11.1,9.8,0.533,14.3,28.3,0.228
Texas A&M NCAA,25,10,67.1,108.5,0.451,0.345,0.543,53.4,52.6,10,7.9,0.488,15.5,36.7,0.343
Texas A&M-Corpus Christi NCAA,24,11,71.7,110.9,0.348,0.342,0.559,52.6,55.2,11.7,5.3,0.513,15.2,33.7,0.276
Texas Southern NCAA,14,21,70.9,95.6,0.338,0.281,0.498,51.4,46.1,9.3,8.9,0.466,17.4,31,0.225
Texas State,16,19,64.9,101.7,0.328,0.261,0.521,51.5,40.8,9.7,10.3,0.482,15.6,31.5,0.239
Texas Tech,16,16,68.9,105.7,0.348,0.368,0.556,51.7,49.7,10.5,8.7,0.523,17.3,32.1,0.251
Texas-Rio Grande Valley,15,17,74.3,105.1,0.433,0.354,0.564,52.4,58.2,6.3,8.3,0.529,18.7,30.9,0.302
The Citadel,10,22,68.2,98.9,0.288,0.393,0.531,46.1,47.3,8.1,7.8,0.496,16.2,21.8,0.217
Toledo,27,8,70.8,120.6,0.348,0.357,0.6,50.1,49.3,9.6,7.7,0.565,11.9,30.2,0.268
Towson,21,12,65.7,108.1,0.298,0.345,0.54,54.4,53.6,9.4,10.2,0.511,15.6,35.7,0.211
Troy,20,13,69.2,105,0.325,0.41,0.538,50.3,52.1,12.5,7.4,0.507,15.9,30.8,0.228
Tulane,20,11,74,106.3,0.354,0.381,0.566,45.5,56.3,11.2,11.4,0.524,13.8,19.3,0.275
Tulsa,5,25,68.7,94.2,0.267,0.424,0.502,45.2,48.7,7.9,4.1,0.479,16.9,24.8,0.173
UAB,29,10,70.6,111.2,0.356,0.316,0.547,53.6,49.6,11.1,11.2,0.508,14.5,35.8,0.264
UC Davis,18,14,70.9,104.2,0.434,0.346,0.545,53,48.1,9.9,6.9,0.503,17.7,33.7,0.308
UC Irvine,23,12,70,106.4,0.288,0.315,0.553,52.2,53.5,10,6.7,0.525,15.4,28.6,0.207
UC Riverside,22,12,67.4,105.9,0.257,0.383,0.536,53.7,49.7,7.5,4.7,0.512,15.4,32,0.179
UC San Diego,10,20,67,99.9,0.274,0.404,0.529,47.6,48.5,8.4,5.8,0.497,15.7,23.7,0.203
UC Santa Barbara NCAA,27,8,65.5,109.1,0.343,0.296,0.575,51.3,53.6,9.7,6.7,0.545,15.4,26.7,0.25
UCF,19,15,66.1,105.5,0.289,0.422,0.54,51.3,55.3,11.3,11.4,0.503,16.7,33.6,0.223
UCLA NCAA,31,6,67.2,110.3,0.274,0.29,0.54,52.2,52.1,12.5,11.6,0.511,12.8,33,0.2
UNC Asheville NCAA,27,8,69.3,105.8,0.408,0.374,0.577,50.5,49.7,9,10,0.547,18,26.3,0.284
UNC Greensboro,20,12,67.2,106.4,0.321,0.392,0.546,52.6,57,10.5,7.8,0.515,15.1,30.2,0.229
UNC Wilmington,24,10,65.4,104.2,0.38,0.341,0.542,50.5,44.9,10.2,8.4,0.501,15.9,29,0.277
UT Arlington,11,21,67.6,97.9,0.306,0.345,0.498,51.5,56,9.4,9,0.47,17.2,34.5,0.201
Utah,17,15,66.5,102.9,0.292,0.377,0.521,52.8,58.4,7.5,10.1,0.49,15.4,31.3,0.207
Utah State NCAA,26,9,69.2,112.6,0.343,0.425,0.596,53,61.8,7.2,8.6,0.562,15.6,27.3,0.262
Utah Tech,14,19,70.8,105.9,0.437,0.416,0.573,51.5,52.4,9.3,6.4,0.539,18.6,29.3,0.307
Utah Valley,28,9,72.2,105.8,0.355,0.331,0.557,52.4,58.1,8.8,15,0.52,16.5,29.4,0.262
UTEP,14,18,68.3,97.7,0.394,0.302,0.52,51.7,48.4,12.8,7.9,0.493,19.3,33.2,0.249
UTSA,10,22,69.5,98.9,0.361,0.385,0.518,48.9,44.6,6.1,6.6,0.475,17,29.3,0.265
Valparaiso,11,21,68.7,98.1,0.282,0.361,0.525,49.3,53.6,8.3,7,0.493,16.2,22.9,0.205
Vanderbilt,22,15,67,106.6,0.316,0.422,0.529,49.5,46.1,7.5,11.8,0.496,13.7,30.8,0.225
Vermont NCAA,23,11,65.5,109.7,0.285,0.429,0.573,49.1,51.6,8.9,8.3,0.551,12.8,20.3,0.198
Villanova,17,17,65,106.7,0.3,0.478,0.559,49,46.7,8.7,5.3,0.515,13.9,22.6,0.246
Virginia NCAA,25,8,62.5,108.1,0.347,0.356,0.544,50.2,65.4,10.9,13.8,0.512,12.1,25.6,0.244
Virginia Commonwealth NCAA,27,8,68.3,103.8,0.416,0.327,0.555,50.1,52.8,13,12.8,0.52,17.3,28.9,0.289
VMI,7,25,67.5,101.9,0.211,0.458,0.525,51.1,45.6,7.9,3.9,0.496,16.3,30.4,0.162
Virginia Tech,19,15,66.8,110.5,0.259,0.396,0.566,49.6,56.7,7.8,8.3,0.54,13.1,25.9,0.191
Wagner,15,13,63.5,98.5,0.248,0.358,0.486,53.7,51.8,10.5,5.8,0.458,15.6,35.2,0.169
Wake Forest,19,14,70.1,108.5,0.321,0.454,0.574,49.7,50.6,8.5,7.4,0.542,15.4,24.8,0.239
Washington,16,16,69.2,98.4,0.317,0.366,0.528,47.1,46.8,9.8,13.1,0.488,17.6,26.4,0.237
Washington State,17,17,64.8,105.1,0.282,0.434,0.534,52.1,49.6,7.5,7.3,0.504,15.8,31.5,0.202
Weber State,18,15,65.7,100.5,0.335,0.375,0.554,49.7,45.1,9.1,4.6,0.514,17.4,21.3,0.257
West Virginia NCAA,19,15,69.6,108.8,0.394,0.363,0.557,52,50.1,9.6,8.6,0.515,16,34,0.292
Western Carolina,18,16,68.3,106.2,0.334,0.421,0.538,51.4,49.1,7.7,6.4,0.504,13.5,27.3,0.239
Western Illinois,16,14,68.8,105.7,0.319,0.372,0.542,49.9,51.6,8.4,9,0.513,13.7,27,0.223
Western Kentucky,17,16,68.4,103.5,0.315,0.364,0.537,48.3,49.6,9,15,0.505,14.9,26,0.224
Western Michigan,8,23,66.7,104.8,0.265,0.416,0.529,53.4,50.4,6.9,6.4,0.501,16.2,34.3,0.189
Wichita State,17,15,67.8,103.1,0.308,0.372,0.539,51.5,51.5,9.2,11.3,0.507,16,29.1,0.221
William & Mary,13,20,65.3,102.6,0.306,0.382,0.53,49.6,50.7,9.2,5.7,0.502,16,29.2,0.208
Winthrop,15,17,67.8,108.4,0.408,0.453,0.592,47.7,46.5,7.5,8.4,0.556,18.3,26.5,0.301
Wisconsin,20,15,63.2,101.1,0.25,0.402,0.509,47.5,48.9,9.2,4.4,0.483,11.9,22.6,0.173
Wofford,17,16,66.4,110.8,0.288,0.39,0.566,51.5,45.5,8.5,6.1,0.537,14.2,29.8,0.212
Wright State,18,15,72,108.5,0.242,0.276,0.569,51.6,48,8.5,7.8,0.546,15.3,27.3,0.178
Wyoming,9,22,66.4,103.7,0.332,0.457,0.551,49.3,46.6,7.3,7.5,0.52,16,24.1,0.236
Xavier NCAA,27,10,72,112.1,0.314,0.312,0.578,53.9,63.6,8.8,7.9,0.552,15,30.7,0.223
Yale,21,9,67.5,111.3,0.3,0.351,0.564,54.2,52.2,9.3,12.6,0.54,14.3,29.7,0.208
Youngstown State,24,10,69.5,115.8,0.295,0.356,0.585,51.7,51.2,9.9,6.9,0.552,13.6,31,0.23
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
