"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!High school graduate (includes equivalency)","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Some college or associate's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","25.5%","38.1%","30.9%","5.5%","(X)","4.0%","10.7%","34.4%","17.8%","12.9%","13.1%","7.0%","85.3%","20.1%","(X)","80.6%","16.3%","(X)","82.0%","17.6%","(X)","86.8%","19.2%","(X)","88.9%","26.6%","","(X)","88.9%","21.9%","(X)","89.6%","22.1%","(X)","47.6%","2.6%","(X)","84.6%","0.0%","(X)","84.5%","38.7%","(X)","-","-","(X)","44.0%","9.9%","(X)","83.9%","11.5%","(X)","47.1%","6.2%","","26.2%","9.8%","8.0%","5.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±6.2","±6.0","±5.7","±2.7","(X)","±0.7","±1.4","±1.8","±1.4","±1.5","±1.6","±0.9","±1.5","±1.5","(X)","±3.8","±3.7","(X)","±3.6","±3.3","(X)","±2.1","±2.4","(X)","±1.9","±2.8","","(X)","±1.2","±1.7","(X)","±1.2","±1.7","(X)","±6.7","±2.4","(X)","±18.8","±32.4","(X)","±17.7","±26.6","(X)","**","**","(X)","±20.9","±7.5","(X)","±7.8","±6.5","(X)","±14.0","±3.5","","±5.7","±2.1","±3.3","±2.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,860","377","887","1,323","273","26,994","708","1,712","8,107","5,405","4,491","3,623","2,948","24,574","6,571","4,301","3,956","1,066","4,140","3,710","1,329","10,759","10,067","2,739","7,794","6,841","1,437","","25,421","23,342","6,371","25,255","23,190","6,306","320","307","18","13","10","7","253","203","71","6","6","0","192","173","40","789","533","64","455","393","97","","(X)","(X)","(X)","(X)","","34,498","21,301","26,783","33,379","47,031","62,272"
"        Margin of Error","","±88","±100","±176","±175","±80","±94","±183","±288","±471","±476","±410","±308","±276","±358","±406","±135","±162","±169","±89","±203","±183","±103","±172","±239","±60","±202","±165","","±113","±318","±395","±92","±319","±397","±103","±104","±23","±13","±11","±9","±48","±56","±37","±9","±9","±30","±73","±68","±29","±207","±127","±34","±42","±45","±43","","(X)","(X)","(X)","(X)","","±938","±3,241","±1,363","±1,613","±3,920","±3,978"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.2%","31.0%","46.3%","9.5%","(X)","2.6%","6.3%","30.0%","20.0%","16.6%","13.4%","10.9%","91.0%","24.3%","(X)","92.0%","24.8%","(X)","89.6%","32.1%","(X)","93.6%","25.5%","(X)","87.8%","18.4%","","(X)","91.8%","25.1%","(X)","91.8%","25.0%","(X)","95.9%","5.6%","(X)","76.9%","53.8%","(X)","80.2%","28.1%","(X)","100.0%","0.0%","(X)","90.1%","20.8%","(X)","67.6%","8.1%","(X)","86.4%","21.3%","","34.1%","17.1%","11.3%","6.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±3.5","±6.0","±6.0","±2.8","(X)","±0.7","±1.1","±1.7","±1.8","±1.5","±1.1","±1.0","±1.4","±1.5","(X)","±3.2","±3.9","(X)","±4.5","±4.4","(X)","±1.6","±2.2","(X)","±2.4","±2.1","","(X)","±1.3","±1.6","(X)","±1.3","±1.6","(X)","±6.1","±7.2","(X)","±32.6","±43.3","(X)","±12.2","±12.3","(X)","±100.0","±100.0","(X)","±10.3","±15.4","(X)","±14.9","±4.3","(X)","±7.5","±8.9","","±6.8","±3.0","±2.8","±2.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"Chautauqua County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","12,169","1,527","3,842","6,041","759","89,632","3,149","6,419","31,002","15,985","12,162","11,639","9,276","80,064","20,915","14,601","13,085","3,320","13,945","12,372","3,995","35,255","31,543","7,837","25,831","23,064","5,763","","82,647","74,746","19,623","80,716","73,294","19,419","1,758","1,274","90","241","215","70","618","514","350","61","61","38","2,374","1,644","435","1,933","1,610","309","5,092","3,752","669","","(X)","(X)","(X)","(X)","","37,622","26,615","31,729","36,232","44,775","62,859"
"        Margin of Error","","±112","±278","±395","±436","±197","±111","±422","±505","±1,064","±941","±716","±615","±662","±619","±883","±190","±281","±392","±197","±248","±366","±138","±469","±585","±73","±307","±473","","±374","±667","±885","±148","±610","±890","±178","±225","±65","±105","±103","±61","±84","±84","±84","±18","±18","±17","±350","±313","±186","±381","±332","±99","*****","±223","±206","","(X)","(X)","(X)","(X)","","±1,233","±2,003","±1,618","±1,707","±3,228","±3,119"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","12.5%","31.6%","49.6%","6.2%","(X)","3.5%","7.2%","34.6%","17.8%","13.6%","13.0%","10.3%","89.3%","23.3%","(X)","89.6%","22.7%","(X)","88.7%","28.6%","(X)","89.5%","22.2%","(X)","89.3%","22.3%","","(X)","90.4%","23.7%","(X)","90.8%","24.1%","(X)","72.5%","5.1%","(X)","89.2%","29.0%","(X)","83.2%","56.6%","(X)","100.0%","62.3%","(X)","69.3%","18.3%","(X)","83.3%","16.0%","(X)","73.7%","13.1%","","27.8%","17.3%","12.7%","6.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±2.3","±3.2","±3.6","±1.6","(X)","±0.5","±0.6","±1.2","±1.1","±0.8","±0.7","±0.7","±0.7","±1.0","(X)","±1.6","±2.7","(X)","±1.9","±2.6","(X)","±1.3","±1.6","(X)","±1.1","±1.8","","(X)","±0.7","±1.1","(X)","±0.7","±1.1","(X)","±9.9","±3.8","(X)","±8.9","±17.5","(X)","±6.3","±10.8","(X)","±40.8","±31.3","(X)","±7.8","±7.1","(X)","±6.1","±4.5","(X)","±4.4","±4.0","","±3.5","±1.6","±1.3","±1.6","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","6,259","1,071","1,972","2,978","238","43,992","1,844","3,676","16,469","7,899","5,274","5,350","3,480","38,472","8,830","7,534","6,592","1,188","7,014","5,977","1,412","17,617","15,474","3,434","11,827","10,429","2,796","","40,192","35,658","8,289","39,314","35,051","8,253","1,065","776","54","106","103","30","247","206","144","30","30","20","1,269","813","192","1,083","886","101","2,637","1,817","252","","(X)","(X)","(X)","(X)","","43,592","32,401","38,481","45,017","52,313","70,766"
"        Margin of Error","","±80","±214","±259","±300","±78","±96","±306","±376","±714","±525","±445","±486","±308","±432","±626","±174","±222","±210","±171","±218","±266","±101","±290","±377","±36","±225","±269","","±265","±473","±580","±118","±401","±577","±127","±163","±56","±64","±63","±45","±56","±54","±49","±22","±22","±18","±242","±243","±134","±276","±241","±43","*****","±194","±145","","(X)","(X)","(X)","(X)","","±1,200","±2,445","±3,194","±2,894","±4,412","±5,021"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","17.1%","31.5%","47.6%","3.8%","(X)","4.2%","8.4%","37.4%","18.0%","12.0%","12.2%","7.9%","87.5%","20.1%","(X)","87.5%","15.8%","(X)","85.2%","20.1%","(X)","87.8%","19.5%","(X)","88.2%","23.6%","","(X)","88.7%","20.6%","(X)","89.2%","21.0%","(X)","72.9%","5.1%","(X)","97.2%","28.3%","(X)","83.4%","58.3%","(X)","100.0%","66.7%","(X)","64.1%","15.1%","(X)","81.8%","9.3%","(X)","68.9%","9.6%","","27.4%","15.6%","9.2%","4.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±3.4","±4.1","±4.8","±1.2","(X)","±0.7","±0.9","±1.6","±1.2","±1.0","±1.1","±0.7","±1.0","±1.4","(X)","±2.2","±2.8","(X)","±2.8","±3.8","(X)","±1.6","±2.1","(X)","±1.9","±2.3","","(X)","±1.0","±1.5","(X)","±1.0","±1.5","(X)","±10.6","±5.3","(X)","±6.2","±32.8","(X)","±8.9","±15.1","(X)","±58.2","±33.9","(X)","±12.3","±10.2","(X)","±9.5","±3.8","(X)","±7.4","±5.5","","±4.2","±2.3","±1.8","±1.8","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","5,910","456","1,870","3,063","521","45,640","1,305","2,743","14,533","8,086","6,888","6,289","5,796","41,592","12,085","7,067","6,493","2,132","6,931","6,395","2,583","17,638","16,069","4,403","14,004","12,635","2,967","","42,455","39,088","11,334","41,402","38,243","11,166","693","498","36","135","112","40","371","308","206","31","31","18","1,105","831","243","850","724","208","2,455","1,935","417","","(X)","(X)","(X)","(X)","","31,087","16,510","23,743","28,889","40,038","57,128"
"        Margin of Error","","±67","±145","±280","±310","±165","±84","±214","±318","±727","±617","±487","±459","±494","±392","±529","±112","±179","±277","±95","±155","±295","±105","±288","±372","±71","±195","±294","","±197","±363","±529","±90","±370","±530","±112","±125","±32","±62","±61","±37","±66","±64","±64","±17","±17","±16","±184","±172","±125","±184","±170","±83","*****","±139","±161","","(X)","(X)","(X)","(X)","","±1,291","±2,900","±1,730","±1,397","±2,554","±3,339"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","7.7%","31.6%","51.8%","8.8%","(X)","2.9%","6.0%","31.8%","17.7%","15.1%","13.8%","12.7%","91.1%","26.5%","(X)","91.9%","30.2%","(X)","92.3%","37.3%","(X)","91.1%","25.0%","(X)","90.2%","21.2%","","(X)","92.1%","26.7%","(X)","92.4%","27.0%","(X)","71.9%","5.2%","(X)","83.0%","29.6%","(X)","83.0%","55.5%","(X)","100.0%","58.1%","(X)","75.2%","22.0%","(X)","85.2%","24.5%","(X)","78.8%","17.0%","","28.3%","19.2%","15.7%","7.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±2.5","±4.8","±5.1","±2.8","(X)","±0.5","±0.7","±1.6","±1.4","±1.1","±1.0","±1.1","±0.9","±1.2","(X)","±2.2","±3.9","(X)","±2.3","±4.3","(X)","±1.5","±2.1","(X)","±1.3","±2.1","","(X)","±0.8","±1.2","(X)","±0.9","±1.3","(X)","±14.8","±4.7","(X)","±13.7","±23.1","(X)","±7.4","±14.8","(X)","±57.2","±43.6","(X)","±9.6","±10.0","(X)","±7.4","±7.7","(X)","±5.7","±6.6","","±4.7","±2.0","±1.7","±2.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"Chemung County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","6,755","1,135","2,588","2,497","535","59,612","1,575","4,710","20,455","11,006","7,610","7,684","6,572","53,327","14,256","10,701","9,345","2,750","9,898","8,970","2,439","23,117","21,026","5,526","15,896","13,986","3,541","","53,301","48,744","13,230","52,499","48,053","13,056","3,326","2,226","346","98","32","0","792","582","333","0","0","0","479","314","73","1,616","1,429","274","1,573","1,211","329","","(X)","(X)","(X)","(X)","","40,769","26,706","32,964","36,978","57,037","66,929"
"        Margin of Error","","±198","±275","±336","±364","±210","±203","±248","±524","±891","±769","±715","±583","±585","±632","±815","±330","±414","±405","±251","±317","±363","±274","±389","±547","±86","±261","±387","","±183","±449","±825","±124","±422","±808","±190","±288","±118","±63","±28","±30","±101","±138","±139","±30","±30","±30","±142","±128","±47","±249","±240","±119","±87","±113","±138","","(X)","(X)","(X)","(X)","","±1,499","±2,621","±2,606","±2,045","±5,391","±4,310"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","16.8%","38.3%","37.0%","7.9%","(X)","2.6%","7.9%","34.3%","18.5%","12.8%","12.9%","11.0%","89.5%","23.9%","(X)","87.3%","25.7%","(X)","90.6%","24.6%","(X)","91.0%","23.9%","(X)","88.0%","22.3%","","(X)","91.5%","24.8%","(X)","91.5%","24.9%","(X)","66.9%","10.4%","(X)","32.7%","0.0%","(X)","73.5%","42.0%","(X)","-","-","(X)","65.6%","15.2%","(X)","88.4%","17.0%","(X)","77.0%","20.9%","","27.1%","15.0%","11.9%","3.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±4.2","±4.7","±5.1","±3.1","(X)","±0.4","±0.9","±1.5","±1.3","±1.2","±1.0","±1.0","±1.0","±1.4","(X)","±2.7","±3.7","(X)","±2.5","±3.6","(X)","±1.4","±2.3","(X)","±1.7","±2.4","","(X)","±0.8","±1.5","(X)","±0.8","±1.5","(X)","±8.4","±3.7","(X)","±41.1","±30.7","(X)","±15.5","±15.7","(X)","**","**","(X)","±14.4","±9.1","(X)","±4.3","±6.7","(X)","±5.5","±8.7","","±5.3","±1.8","±2.0","±1.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,338","711","1,166","1,354","107","29,687","863","3,132","10,615","5,056","3,272","3,977","2,772","25,692","6,749","5,888","4,932","1,274","5,170","4,499","1,001","11,507","10,112","2,542","7,122","6,149","1,932","","25,555","22,867","6,211","25,133","22,510","6,141","2,424","1,508","137","84","18","0","424","335","198","0","0","0","335","198","24","865","766","179","983","748","170","","(X)","(X)","(X)","(X)","","47,357","27,408","39,035","46,155","63,375","80,101"
"        Margin of Error","","±156","±209","±235","±297","±62","±173","±188","±494","±537","±418","±435","±384","±410","±516","±539","±296","±316","±269","±236","±237","±225","±254","±325","±335","±55","±211","±282","","±166","±368","±514","±92","±338","±512","±168","±248","±80","±60","±21","±30","±92","±83","±101","±30","±30","±30","±104","±81","±24","±208","±207","±114","±78","±93","±107","","(X)","(X)","(X)","(X)","","±2,360","±5,230","±3,744","±2,912","±8,613","±8,783"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","21.3%","34.9%","40.6%","3.2%","(X)","2.9%","10.6%","35.8%","17.0%","11.0%","13.4%","9.3%","86.5%","22.7%","(X)","83.8%","21.6%","(X)","87.0%","19.4%","(X)","87.9%","22.1%","(X)","86.3%","27.1%","","(X)","89.5%","24.3%","(X)","89.6%","24.4%","(X)","62.2%","5.7%","(X)","21.4%","0.0%","(X)","79.0%","46.7%","(X)","-","-","(X)","59.1%","7.2%","(X)","88.6%","20.7%","(X)","76.1%","17.3%","","18.5%","12.7%","10.4%","3.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±6.4","±7.0","±8.3","±1.8","(X)","±0.6","±1.6","±1.8","±1.4","±1.5","±1.3","±1.4","±1.8","±1.8","(X)","±4.3","±4.6","(X)","±3.5","±4.1","(X)","±2.3","±2.8","(X)","±2.9","±3.9","","(X)","±1.2","±2.0","(X)","±1.3","±2.0","(X)","±10.6","±3.5","(X)","±40.4","±34.2","(X)","±18.2","±24.1","(X)","**","**","(X)","±17.5","±7.4","(X)","±5.9","±11.8","(X)","±6.8","±10.7","","±5.3","±2.3","±2.7","±1.9","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,417","424","1,422","1,143","428","29,925","712","1,578","9,840","5,950","4,338","3,707","3,800","27,635","7,507","4,813","4,413","1,476","4,728","4,471","1,438","11,610","10,914","2,984","8,774","7,837","1,609","","27,746","25,877","7,019","27,366","25,543","6,915","902","718","209","14","14","0","368","247","135","0","0","0","144","116","49","751","663","95","590","463","159","","(X)","(X)","(X)","(X)","","34,893","21,992","27,071","31,221","50,950","63,595"
"        Margin of Error","","±116","±147","±237","±222","±198","±144","±163","±227","±583","±551","±466","±374","±385","±320","±499","±167","±226","±241","±149","±189","±271","±111","±170","±352","±51","±167","±233","","±91","±280","±486","±63","±264","±469","±145","±170","±81","±18","±18","±30","±97","±99","±69","±30","±30","±30","±66","±65","±41","±172","±169","±52","±52","±66","±84","","(X)","(X)","(X)","(X)","","±1,805","±6,336","±2,247","±2,017","±7,731","±2,720"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","12.4%","41.6%","33.5%","12.5%","(X)","2.4%","5.3%","32.9%","19.9%","14.5%","12.4%","12.7%","92.3%","25.1%","(X)","91.7%","30.7%","(X)","94.6%","30.4%","(X)","94.0%","25.7%","(X)","89.3%","18.3%","","(X)","93.3%","25.3%","(X)","93.3%","25.3%","(X)","79.6%","23.2%","(X)","100.0%","0.0%","(X)","67.1%","36.7%","(X)","-","-","(X)","80.6%","34.0%","(X)","88.3%","12.6%","(X)","78.5%","26.9%","","38.3%","17.2%","13.1%","4.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±4.4","±6.5","±6.4","±5.8","(X)","±0.5","±0.8","±2.0","±1.8","±1.5","±1.3","±1.3","±0.9","±1.7","(X)","±3.1","±4.8","(X)","±2.5","±5.7","(X)","±1.4","±3.0","(X)","±1.9","±2.7","","(X)","±0.9","±1.7","(X)","±1.0","±1.7","(X)","±10.9","±8.6","(X)","±85.1","±85.1","(X)","±21.3","±15.8","(X)","**","**","(X)","±18.8","±26.4","(X)","±7.0","±7.0","(X)","±8.8","±14.0","","±7.5","±2.2","±2.8","±1.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"Chenango County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,482","637","1,486","1,040","319","34,016","897","2,913","14,001","6,174","3,821","3,425","2,785","30,206","6,210","5,213","4,645","1,008","5,269","4,854","1,079","13,758","12,295","2,216","9,776","8,412","1,907","","32,766","29,188","5,955","32,459","28,928","5,882","241","177","29","29","17","0","154","115","71","6","3","1","312","257","44","508","449","110","630","509","112","","(X)","(X)","(X)","(X)","","39,811","28,750","33,594","39,911","46,607","61,502"
"        Margin of Error","","±76","±158","±208","±160","±95","±73","±144","±330","±562","±428","±301","±304","±325","±371","±477","±61","±171","±172","±70","±164","±213","±90","±224","±281","±61","±183","±244","","±89","±371","±458","±62","±369","±449","±70","±55","±27","±21","±18","±27","±49","±56","±42","±6","±4","±2","±111","±95","±37","±89","±89","±52","±52","±66","±53","","(X)","(X)","(X)","(X)","","±1,265","±6,990","±1,589","±1,527","±7,126","±2,008"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
