,Unnamed: 0,Wave 3_Patients Admitted Due to COVID,Wave 3_Patients Admitted Not Due to COVID,Wave 3_Patients Newly Admitted,Wave 3_Patients Discharged,Wave 3_Patients Currently in ICU,Wave 3_Patients Currently ICU Intubated,Wave 3_Patients Expired,cluster,Median Income,Less than high school,High school graduate,Some college or associate's degree,Bachelor's degree or higher,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",Unemployed,POVERTY
1,ALLEGANY,6.164190554503185,0.9621355626829688,3.3267060121405194,3.767005338384708,4.305148958153952,0.4239919429137248,0.4076845595832615,3,54375,0.08053655120400798,0.33052308355330495,0.40015083768787374,0.18878952755481335,0.3494643323752286,0.19116801672328193,0.18876404494382024,0.10384112882153122,0.16676247713613795,3.6,6.7
6,CHAUTAUQUA,6.367678920074889,2.818869978144559,2.8129355154828954,2.551819138785965,3.685301593332132,1.6616496713850395,0.5222327541772093,3,50408,0.10898714158014165,0.342275616153083,0.3358316715945816,0.2129055706721938,0.32999455634186176,0.19941934313191798,0.19352204681545998,0.09718744329522773,0.17987661041553257,3.0,5.4
11,CORTLAND,9.176556954859109,0.48553211348245,3.204511952829584,2.945561492448034,5.486512888547074,0.5502697301800936,0.3236880770791941,3,62163,0.086768581971534,0.29391143911439116,0.381549815498155,0.23777016341591986,0.37294661190965095,0.22180869267624914,0.17659137577002054,0.09967488021902807,0.12897843942505133,3.7,5.9
13,DUTCHESS,9.958973127055094,4.165359712886644,3.374274185481445,2.869925160605723,3.753175992105734,2.178685380739479,0.384022099888142,3,87112,0.08813467621108706,0.26531962710171464,0.3021183619111037,0.34442733477609455,0.42993056120649903,0.18513168958689344,0.21044565600672688,0.08763257113407655,0.0868595220658041,3.2,5.2
16,FRANKLIN,4.683572131216486,3.7596021196509306,2.994937281043003,3.3454086657554414,4.667641614972138,1.2107193270949428,0.2230272442435075,3,55279,0.1283872801012632,0.3742347136472837,0.2987522926300018,0.19862571362145126,0.3305811537846908,0.23773504501145262,0.21722686837479357,0.09593565226655303,0.11852128056250999,3.3,6.6
17,FULTON,6.961445525466957,0.0,2.8129922736478887,2.1310547520816145,4.347351695296677,0.6109023629135099,0.355175791388493,3,55240,0.13028094758300723,0.3743937015254118,0.3234529137474518,0.17187243714412917,0.3013855397065435,0.19507908611599298,0.21020149589242654,0.10630645359055053,0.18702742469448644,3.0,5.1
18,GENESEE,8.277956657189833,3.5940344728368845,1.5310327361786669,3.5421350585736797,6.707999361170104,4.372525695348359,0.5449438549016922,3,63734,0.07338895716102882,0.38093698122156827,0.33809801004678436,0.20757605157061854,0.32685961776433387,0.17114670699848755,0.21346074522205416,0.13316375635913652,0.1553691736559879,3.2,4.9
20,JEFFERSON,4.465452842247753,4.14092865294163,3.277694310364031,3.433465921299509,2.9012462504605,0.6425578944662914,0.2661098354195046,3,58271,0.0857219815492357,0.35040739826266526,0.34729860160265763,0.2165720185854414,0.34629418472063855,0.20011402508551882,0.22255416191562144,0.10989737742303307,0.12114025085518815,3.0,6.0
21,KINGS,7.463414567734644,6.61864076410214,1.6369395999523404,2.6716559877400976,2.5445661235770665,1.4281688865140345,0.3023575851018649,3,67753,0.15909536699227178,0.2548111193716386,0.21101565258326468,0.375077861052825,0.4546326680018904,0.2152077106417645,0.1894877474744377,0.056101414094709666,0.08457045978719774,4.5,7.1
22,LEWIS,5.414919641110526,0.9689856218493718,4.217937405010909,3.6479458656233534,2.0804691257241745,0.0284995786622526,0.0569991535625611,3,60049,0.09196132057042392,0.428599335807775,0.3005958194959953,0.17884352412580581,0.3360086949251735,0.19421453055764568,0.17891480645430985,0.15884959451550873,0.13201237354736226,3.0,5.0
