,PTS,PTS.1,W_x,L_x,Pts_x,Opp_x,MOV_x,SOS_x,OSRS_x,DSRS_x,SRS_x,ORtg_x,DRtg_x,NRtg_x,Conf_x,W_y,L_y,Pts_y,Opp_y,MOV_y,SOS_y,OSRS_y,DSRS_y,SRS_y,ORtg_y,DRtg_y,NRtg_y,Conf_y
PTS,1.0,0.33482650273072273,0.21771134711845913,-0.22159063746004828,0.37876868983223705,0.14801499266314253,0.21398494341914842,-0.000605677787575421,0.2954609980026476,-0.10015965158863675,0.12623192930960395,0.20060431090141367,-0.0316029382549905,0.12841381151119624,0.010038713299403854,-0.20969125188689489,0.20809000166263872,0.12375383213583785,0.40851858106507855,-0.21610135933576527,-0.02458786656229717,0.06693949805595258,-0.3172966526733703,-0.15547481160903345,-0.05415850965455974,0.24172826272134693,-0.15876621426250975,0.012252266072660865
PTS.1,0.33482650273072273,1.0,-0.20360355588767734,0.19662237105890765,0.12345987743489882,0.39493935651109985,-0.20468838421136876,0.003209722887309318,0.082189138780172,-0.29338921428526743,-0.13046899611673105,-0.04576802761675715,0.1996682112472635,-0.13154065016635158,-0.0030824778780693526,0.2841009724841654,-0.2815478818237893,0.4568074569999241,0.1338645932059217,0.29121606970685165,0.027818214674468756,0.3614704747832816,-0.07294942725513168,0.1850972290369126,0.27420079181631857,-0.06372619177549758,0.18612439829251598,-0.002318848503539788
W_x,0.21771134711845913,-0.20360355588767734,1.0,-0.9616673976631901,0.5969734066888,-0.49742851773213664,0.9161729664382201,0.30888657904606237,0.6453619343708107,0.5465252586337219,0.7529646724685524,0.7184813100611641,-0.6734284083455808,0.7575712419290753,-0.07393322836407375,0.0484840452076141,-0.025126098082417524,0.016649785692249265,-0.04242139909403006,0.04835750180745903,0.28888790970631134,0.16022002736987348,0.17761259010387742,0.21317209038397666,0.19301178650936224,-0.19565654902095383,0.21131162662261277,-0.06702187960895307
L_x,-0.22159063746004828,0.19662237105890765,-0.9616673976631901,1.0,-0.601186303777253,0.49234162457541764,-0.9156599239013535,-0.2262911166627249,-0.6020607948631064,-0.49723976355441496,-0.6945783360642984,-0.6602538354711611,0.6250085276399188,-0.6994502732194995,0.0675620768065876,-0.019145418322174743,0.010863585067417946,-0.011983487471083337,0.024431748718168684,-0.029937503292377626,-0.21840019831111815,-0.11839609401276709,-0.1284537812313423,-0.1557789975042382,-0.14135276887715453,0.14217589185737448,-0.15416419922676497,0.05809603320284536
Pts_x,0.37876868983223705,0.12345987743489882,0.5969734066888,-0.601186303777253,1.0,0.2828430879005367,0.6504018831218239,0.12231190558395533,0.8158939953652882,-0.14010751388038362,0.4336680869906555,0.606026973528115,-0.185689449701079,0.43589503398622914,0.01127885950933273,0.022100854368684,-0.016063239674800944,0.123433149841745,0.088455158978896,0.03745827771300196,0.12236677152905245,0.094213506948691,0.031041509103209384,0.07950241703657346,0.10015773598692464,-0.045755678718412046,0.07995604349593888,0.010826716934176386
Opp_x,0.14801499266314253,0.39493935651109985,-0.49742851773213664,0.49234162457541764,0.2828430879005367,1.0,-0.5445780555606097,-0.20655089667385812,0.0913467465338159,-0.8477139731260123,-0.47031046638227525,-0.23292406940248644,0.6455497344456919,-0.47255257103778564,0.06239764660334672,-0.03873617534782279,0.029207503120401435,0.09056291898720605,0.14691748655328493,-0.03769295153879084,-0.1994118184341045,-0.08911992108997062,-0.1672852606213806,-0.16135465506357727,-0.11880632327888997,0.17190515431678474,-0.1574803894253959,0.054587028661140534
MOV_x,0.21398494341914842,-0.20468838421136876,0.9161729664382201,-0.9156599239013535,0.6504018831218239,-0.5445780555606097,1.0,0.27093064865684047,0.6412296677240441,0.5490239161737486,0.7518761361779503,0.7147713293284418,-0.6735791512320286,0.7555892297434645,-0.04006060605652216,0.05022093740980925,-0.037315694141628,0.03636673863403922,-0.03899426235988014,0.06273089672782396,0.26530439182729126,0.15327017268212262,0.15981891866350673,0.19762208626431055,0.18199834584768934,-0.1764117284430036,0.19495408666569272,-0.03402076133759191
SOS_x,-0.000605677787575421,0.003209722887309318,0.30888657904606237,-0.2262911166627249,0.12231190558395533,-0.20655089667385812,0.27093064865684047,1.0,0.6329624298170444,0.66827094612915,0.8209540619268336,0.739966734634431,-0.7620735770172251,0.8166259760147464,-0.22039384620521985,0.28287077038577213,-0.21576995437446647,0.12078687607994774,-0.19255128819627845,0.25809777504335374,0.9584910394835279,0.6120429139726472,0.6362410723170501,0.7879491273543325,0.7128791659193564,-0.7269492491733988,0.7827429218665827,-0.2189362363349075
OSRS_x,0.2954609980026476,0.082189138780172,0.6453619343708107,-0.6020607948631064,0.8158939953652882,0.0913467465338159,0.6412296677240441,0.6329624298170444,1.0,0.25523834944601825,0.7977777070025523,0.891491503251534,-0.565426473628458,0.7964791674894609,-0.14365433385220616,0.16371811761405083,-0.12252583923329798,0.09608833087030674,-0.08628470223517905,0.152278545160699,0.6145114206280875,0.37807241401785563,0.4004581396387176,0.4913744351497299,0.4510583861399693,-0.44736269384696803,0.48855589979418973,-0.1429524225875787
DSRS_x,-0.10015965158863675,-0.29338921428526743,0.5465252586337219,-0.49723976355441496,-0.14010751388038362,-0.8477139731260123,0.5490239161737486,0.66827094612915,0.25523834944601825,1.0,0.786604075350334,0.5675515047736983,-0.8867142331347642,0.7868856065697113,-0.16959419371146908,0.17133062758940457,-0.1299776766391776,0.027537998316281852,-0.16522346927001114,0.15517701148974408,0.6446657746785736,0.4020125494991347,0.43099606996004347,0.5257298116247863,0.4678029178173081,-0.4901352493659729,0.5206257919058374,-0.16460290520181542
