,,Tot,Tot
Tm,PA,Ply,Y/P
,,,
San Francisco 49ers,277,1026,5
Buffalo Bills,286,997,5.1
Baltimore Ravens,315,1047,5.3
New York Jets,316,1093,4.8
Cincinnati Bengals,322,996,5.4
Dallas Cowboys,342,1101,5.1
Washington Commanders,343,998,5.2
Philadelphia Eagles,344,1072,4.8
New Orleans Saints,345,1076,5
Pittsburgh Steelers,346,1024,5.5
New England Patriots,347,1091,5
Jacksonville Jaguars,350,1106,5.4
Tampa Bay Buccaneers,358,1073,5.1
Denver Broncos,359,1079,5
Tennessee Titans,359,1100,5.4
Kansas City Chiefs,369,1093,5.1
Green Bay Packers,371,991,5.8
New York Giants,371,1078,5.6
Carolina Panthers,374,1103,5.4
Cleveland Browns,381,1041,5.4
Los Angeles Chargers,384,1002,5.9
Los Angeles Rams,384,1049,5.5
Atlanta Falcons,386,1082,5.7
Miami Dolphins,399,1086,5.3
Seattle Seahawks,401,1117,5.5
Las Vegas Raiders,418,1077,5.8
Houston Texans,420,1134,5.7
Minnesota Vikings,427,1118,5.9
Detroit Lions,427,1076,6.2
Indianapolis Colts,427,1092,5.2
Arizona Cardinals,449,1075,5.5
Chicago Bears,463,1043,6.1
