,,Tot,Tot
Tm,PA,Ply,Y/P
,,,
Baltimore Ravens,280,1109,4.6
Kansas City Chiefs,294,1045,4.7
San Francisco 49ers,298,1038,5
Buffalo Bills,311,1015,5.1
Dallas Cowboys,315,1014,5
Pittsburgh Steelers,324,1074,5.4
Tampa Bay Buccaneers,325,1081,5.4
New Orleans Saints,327,1054,5.3
Las Vegas Raiders,331,1089,5.2
Green Bay Packers,350,1061,5.4
Houston Texans,353,1079,5.2
New York Jets,355,1087,4.6
Minnesota Vikings,362,1095,5.2
Cleveland Browns,362,1004,4.6
New England Patriots,366,1091,4.7
Tennessee Titans,367,1096,5.2
Jacksonville Jaguars,371,1078,5.4
Atlanta Falcons,373,1090,5
Los Angeles Rams,377,1078,5.3
Chicago Bears,379,1035,5.3
Cincinnati Bengals,384,1055,6
Miami Dolphins,391,1057,5.1
Detroit Lions,395,1037,5.5
Los Angeles Chargers,398,1113,5.5
Seattle Seahawks,402,1147,5.5
New York Giants,407,1091,5.6
Denver Broncos,413,1083,5.8
Indianapolis Colts,415,1137,5.2
Carolina Panthers,416,1016,4.9
Philadelphia Eagles,428,1105,5.5
Arizona Cardinals,455,1060,5.7
Washington Commanders,518,1117,5.9
